Appearance,Aroma,Description,Flavor,Flowering Time,Grow,Grow Medium,Lineage,Name,Origin,Qualities,Story,Strain Type
"Once again, this strain can vary greatly in appearance depending on the specific phenotype. The shape can range from more oblong-shaped like the Train Wreck to more circular-shaped like the OG; however, they are all dense – a characteristic of both parents. Given the sativa influence of the Train Wreck, nearly all phenotypes will have orange pistils but coverage density will vary. Kandy Kush produces a thick coat of resin, thus buds will appear ‘frosty’.","While the variances in phenotype will apply to smell as well, Kandy Kush can generally be described as sweet, earthy, and piney. Some cuts will lean towards the OG Kush with distinct scents of sweet Pine Sol and lemons with a slight bite of fuel. Other cuts will lean towards the Train Wreck with scents of pine needles (herbal), flowers, and a slight bite of pepper.",NaN,"Because this strain is available from both seed and clone, there are a variety of phenotypes floating around. Although specific flavor profiles will vary, Kandy Kush generally has a sweet, piney, and pungent taste. The smoke is refreshing and keeps you coming back for more. Those growing from seed will have their choice of a variety of flavor profiles that can lean heavily towards one parent or the other. Those growing from clone should inquire as to the specifics of that particular cut.",9-10 weeks (63-70 days),Available in both seed and clone form,NaN,OG Kush x Train Wreck (T4),Kandy Kush,DNA Genetics,"Depending on the particular mix of indica to sativa, this hybrid strain can be effective as either a daytime or a nighttime smoke. For many users, the sativa influence of the Train Wreck can overpower the heavier effects of the OG Kush. In general, the effects can be described as uplifting, euphoric, relaxing, and mood enhancing. The sativa dominant strains will result in initially increased energy levels and focus. Kandy Kush is great from managing stress, pain, and depression.","According to the breeder, DNA Genetics, the goal with this cross was to combine the OG flavor with the Train Wreck bud structure. The OG Kush mother brings medical benefits and a tasty, pronounced terpene profile. The Train Wreck father brings high commercial yields, resin production, and lemony scents. The sweetness in the Kandy Kush is courtesy of the OG Kush female and is where the name stems from. This plant is known for its high resin production and is stated to be one of the most resinous in the entire DNA Genetics catalogue. This strain took 1stat the Colorado Cannabis Crown 2010 for best medical cannabis out of 140 strains.",Hybrid - 60% indica and 40% sativa
NaN,"Most of the smell comes from the Cinderella 99 side of the family, with its slightly putrid tropical fruit stank","A hybrid in the truest sense, this combination of Airborne G-13 and selected Cinderella 99 males serves to increase the yield and flavor of the G-13 mother while retaining her legendary potency.  The flowering time of the two parent strains was already low, making this an especially attractive hybrid for growers with limited space, limited time, and the desire for top-flight potency.","The flavor is also mostly C-99, with a sour, sharp, and slightly sweet blend of fruity notes with hints of pine and skunk",45-50 days,"British Columbia Growers Association (BCGA), Juan Moore Seeds, and Reservoir Seeds have all offered this strain at one point or another","Both genetic lines can take strong fertilization programs.  Depending on phenotype, training may be a suggested route — more G-13 dominant plants will form a strong single cola and stay short, while C99-dominant plants will be more Christmas tree-shaped and work well with training such as SCROG.","Airborne G-13 x Cinderella 99 mixed male pollen (""Evil Pineapple"" pheno)",Killer Queen,"Vancouver, British Columbia, Canada","Very potent to start, Killer Queen attacks the face, eyes, and forehead with a lot of fluctuating pressure.  Serving to awaken the senses, it takes the user on quite an energetic and cerebral ride, while mostly maintaining mental function throughout (except at higher dosages, as there is a high ceiling with this one).  As it begins to fade out, it takes on a more relaxing and G-13-dominant profile, both because it has positive body relaxation qualities and because it has a bit of the ""sugar high"" effect where the ""Sativa up"" amplifies the ""Indica down"" that follows.","The G-13 used in this cross is known as ""Airborne G-13? and isn't the original cut, but is thought to perhaps be one of Neville Schoenmaker's original G-13 hybrids, likely the G-13 x Northern Lights #2.  There were 8 Cinderella-99 males used in a mixed pollination for maximum seed vigor and expression.",Sativa-dominant hybrid
"Dense, rock hard buds are reminiscent of an original haze, while still carying quite a bit of Bubba Kush aesthetics. Finished flowers are silver and purple.",NaN,NaN,NaN,NaN,Clone only. Kimbo is the name given to a specific phenotype of Bubba Train Wreck Haze,NaN,Bubba Kush x Train Wreck Haze,Kimbo Slice,"Rare Dankness Seeds, Colorado",NaN,NaN,Hybrid
NaN,NaN,Unknown lineage,NaN,NaN,Clone Only,NaN,Clone Only,King Louis OG,NaN,"Increased heart rate is expected for a short ""coming up"" duration, bordering on psychedelic thought production and then gently easing into a quality ""stoned"" feeling of relaxation. Most OGs have this roller coaster effect and King Louis is a favorite of many cannabis enthusiasts.Interested in growing?Click hereto purchase seeds and start growing today!",NaN,Indica Dominat Hybrid
NaN,"The smell really takes on a lot of the Grape Ape, bringing that grape-kissed musky incense sweetness it's most known for and receiving a boost of spice from the OG.","Two of California's most famous strains meet the Netherlands' largest seed bank — King's Kush is the result. By combining the sweet and incense-heavy Grape Ape with the spice-citrus-skunk-fuel-funky OG Kush, Apothecary Genetics and Green House have created a stout and resinous plant with deep green leaves and a perfect mix of the parent strains in terms of bag appeal. The plant purples up easily later in flowering, even without cold temperatures.","The OG is most prominent here, lending a spicy and somewhat aggressive flavor with a backing incense-heavy sweetness",8-9 weeks,"Apothecary Genetics stock for both parents, released and distributed by Green House Seeds","This plant grows stout and has a strong central cola with moderate side branching. To maximize yield and reduce risk of mold, pruning some of the inner branches and leaves is suggested. Letting it go the maximum 9 weeks or a bit longer will allow for maximum resin development and flavor.",OG Kush x Grape Ape (Green House Seeds version),King's Kush,"California, USA via Amsterdam, The Netherlands","The effects of this strain are exactly what one would expect given the parent strains — quality relaxation, mood elevation, and high levels of mental clarity. While both strains are potent, neither is potent to the point where functioning becomes difficult or sleep becomes inevitable — you can think and react but are simply more relaxed and positive while doing so.","Apothecary Genetics out of California ""reversed"" and bred their Grape Ape mother with one of the many OG Kush cuts floating around the area, then hooked up with Green House Seeds in Amsterdam for mainstream distribution of seed stock.",Indica-dominant hybrid
"Bulky nugs for a haze varietal, Kronocaine still carries sativa qualities in the grow: Branchy colas that have spaced nodes and narrow leaves. However, the Afghani lineage gives some weight to the colas and allows clusters to form into sizeable dried buds.","Pepper, cardamom, pine-forest","Kronocaine delivers a typical haze buzz with a strong foundation in body relaxation from the Herijuana genetic lineage. The haze is strong, which is surprising to some because haze crosses sometimes don’t come out stellar. This is an exception, and when grown with enough flowering time to mature the cannabinoids and terpenes, can be a highly medicinal strain.","Spicy, piney with hints of citrus coming through from the Afghani Haze cross.",NaN,NaN,NaN,Amnesia Haze x Herijuana,Kronocaine #2,Breeders Choice Seedbank,NaN,"Breeders Choice had success with Herijuana, an Afghani cross that provided solid indica effect and measurable, consistent yields. Revered as a highly medicinal strain in the United States, Herijuana, the male father plant of Kronocaine, has reputation for sedating and relaxing effects. The mother plant, Amnesia Haze, is known as a top-shelf sativa, bred for long flowering times and peppery, uplifting, motivational terpenes. After perfecting the Amnesia Haze, Breeders Choice crossed it with the stain they worked with before, Herijuana, to create a masterpiece hybrid. Kronocaine delivers a typical haze buzz with a strong foundation in body relaxation from the Herijuana genetic lineage. The haze is strong, which is surprising to some because haze crosses sometimes don’t come out stellar. This is an exception, and when grown with enough flowering time to mature the cannabinoids and terpenes, can be a highly medicinal strain.",Hybrid
NaN,NaN,Grape Ape x OG Kush,NaN,NaN,NaN,NaN,Grape Ape x OG Kush,Kurple Fantasy,NaN,"A strong indica, this strain puts the body at ease and a gentle relaxation is expected to settle in after an initial rush put on by the OG Kush. Some users, especially first timers, may feel an accelerated heart rate that will decrease over time as a tollerance is acquired.",NaN,Indica
NaN,"Most Kushage we've tried has a rather sweet smell to it, taking more after certain phenotypes of the S.A.G.E. than the OG Kush.  Sweet, herby, with a hint of citrus.","When two famous California genetic lines meet, the results can be wonderful, as seen in Kushage, which is a cross of T.H.Seeds' workhorse S.A.G.E. and Cali's famous OG Kush.  The resulting hybrid is a very uplifting and energetic Sativa with some of the OG relaxation present to mellow out the at times racy S.A.G.E.  This hybrid yields better than the OG, though the flowering time is slightly longer as well.","Soft citrus, pine, and slightly floral elements form the main part of the flavor, again taking more after the S.A.G.E. than the OG Kush.",9-10 weeks,T.H.Seeds,"Kushage tends to grow into a sort of triangle shape, thinning out at the top as it progresses and forming an extremely dense and strong central cola if untopped.  It's advisable to prune the lowest side branches to encourage upper growth.  The plant will stretch up to 4-5 times in flowering when started at 1' or less, so allow plenty of headroom or train it heavily if the grow area is small.",OG Kush x S.A.G.E.,Kushage,"California, USA via Amsterdam, The Netherlands","The Haze background of the S.A.G.E. comes through as the dominant effect, uplifting mood and stimulating the mind.  This is a great thinking strain, but not as great of a ""doing"" strain, as the mind can get lost on its travels easily.  The OG Kush side of the equation provides relaxing body waves and mental clarity later on in the duration once the initial potency passes.  This is a great daytime creative type of strain, though the comedown can be very draining and induce sleep.  It's recommended for energy, mood elevation, body relaxation, and for sleep as it fades away.",NaN,Sativa-dominant hybrid
"Strawberry Cough has light, fluffy buds with light green calyxes and may be accompanied by more leaves than “kush” varieties. Strawberry Cough is in the skunk family and has the typical fluffy structure of many strains, like Blueberry.","The sweet berry cream elements dominate, but there is a sharp Haze in the background.","Known for its sweet and Hazy smell, this special clone-only strain was discovered by chance and went on to become a High times Strain of the Year in 2005 while also becoming a major piece in breeding projects for its collection of terpenes.  The 100% Indica Strawberry Fields mother lends stoutness, weight, and that lovely sweetness to the strain, while the Haze seems to contribute the majority of the effects.","Strawberry Cough has a musty, berry flavor that can be detected from the aroma of the buds.",NaN,NaN,NaN,Erdbeer x Unknown Indica,Kyle Kushman's Strawberry Cough,Southern California,NaN,NaN,Sativa
NaN,"Musky and spicy, it recalls its Afghani roots with the aromaClick hereto purchase your own L.A. Confidential seeds and start growing today!","By combining a legendary Los Angeles-area Afghani with another choice Afghani specimen, DNA Genetics created a very potent indica hybrid in L.A. Confidential.  The plant has massive dark green fan leaves, is disease and mold-resistant, and yields well with proper care.  The old school sweet and spicy Afghani taste brings to mind the mother OG Affie.","Spicy and hashy, there is a light sweetness at times that brings to mind pressed hash",7-8 weeks,DNA Genetics,"There are two standard phenotypes, one of which that grows an extremely strong central cola and the other which is a little branchier.  Both have dark indica leaves and can take heavy feeding, resist disease/mold, and work well in small quarters.  It's an easy-to-grow plant that is a good choice for beginners in any medium.",OG L.A. Affie x Afghani,L.A. Confidential,"California, USA via Amsterdam, The Netherlands","This is a very relaxing and narcotic indica — even in smaller doses, most users will find themselves sinking into the couch with a smile on their face for quite a while.At higher dosages, it's practically an express train to sleep — it's entertaining with the initial potency, but ultimately sedates and leads to deep relaxation.  This is a great strain for true Afghani-lovers — it's definitely more of an evening/late-night type of choice for most people.",NaN,Indica-dominant hybrid
NaN,"Very sharp and aggressive pine-heavy Kush scent, with strong hints of the ""tire shop"" rubber/fuel smell","A special and aggressive clone-only OG Kush, the LA Kush certainly came out of that area, tough not a ton else is known about its lineage. It seems to possibly have Diesel or ChemDawg crossed into it, because the smell is very sharp and fuely, unlike most of the more traditional OG Kush cuts such as San Fernando Valley, Ghost's OG, and Tahoe OG which have more of a spicy and citrus-pine quality to them. If anyone has more concrete information on the genetic background and history of this particular OG Kush cut (this cut is NOT Abusive's OG Kush, which took on the nickname ""LA Kush"" in the early-middle 2000's, but a different one), pleasecontact us.","The taste is just as aggressive as the smell, with slightly more citrus and fuel… very sharp, chemical, and acrid Kush",8-9 weeks,Clone only,"This plant will produce long, slender, pointy colas with a fairly dense, large-calyxed structure and very fat trichome heads.","Unknown lineage OG Kush clone, likely a ""selfed"" S1 OG Kush bagseed, possibly a Diesel cross",L.A. Kush,"Los Angeles, California, USA","The aggressive"" trend continues with the experience, starting off with a very strong package of head effects including lots of eye/face/temple pressure, racing thoughts, and a burst of energy. Despite the sheer potency of this strain, the mindstate is still predominately clear and it doesn't seem to inhibit mental function much at all.  This is a bit of an ""extreme sport"" type of strain that evens out in the second half of the duration, becoming a little more relaxing and like a typical OG.","We receiveda commenton an earlier L.A. Kush review indicating that this particular cut may have come from a grower named ""Strainger"" in the Orange County area, grown from a single bagseed.  This story is unconfirmed, but represents a possible piece of the puzzle.",Sativa-dominant hybrid
NaN,"A tangy lemon-lime musk is the standard smell, but at times there is a sweet, creamy, almost nutty aroma that comes out of certain phenotypes.","Available in feminized seed form only, this plant was made by crossing Barney's favorite in-house Skunk strain with a potent Mazar, resulting in a fairly heavy Indica plant that manages to retain some of the Sativa head effects from the Skunk.  A hearty plant that resists disease and mold, it definitely gets its structure and height from the Afghani side of its lineage rather than the Skunk, though it is also a good producer thanks to the hybrid vigor of the cross.","It varies according to phenotype, but generally it's a slightly sweet musk with hints of citrus.  The taste is definitely dominated by the Afghani part of the lineage rather than the Skunk.",60-65 days,Barney's Farm Seeds,"Grows well in any medium, grows to a fairly standard to short height and produces well for its size.",Mazar x Skunk #1,L.S.D.,"Amsterdam, The Netherlands (genetic line of Mazar is from the Mazar-i-Shariff region of Afghanistan)","Starting off with an increase in visual acuity and a strongly spacey mental state, this strain can seem like it's a Sativa early on, living up to the psychedelic namesake.  Once those initial effects passed, it still seems to stay mostly in the face but the body presence grows greatly as it progresses.  A creeping numbness and warmth enters the body, leaving the user able to get up and be active or simply sit and relax.  The end of the experience was more sedate and relaxing, bordering on tired-feeling.  This strain is recommended to intermediate users who want a little more adventure in their Indica relief.","The Barney's Farm crew named the strain ""L.S.D."" after experiencing its potent and trippy effects.",Indica-dominant hybrid
NaN,NaN,"Lambo is known to produce heavy resin, making it an ideal choice to battle the elements and resist bugs.",Amaretto and vanilla flavors,50-55 days,NaN,NaN,Jamaican Haze X Jamaican Purple X Super Afghan,Lambo,Adam Dunn - TH Seeds,NaN,NaN,Sativa Dominant Hybrid
NaN,"Spicy, at times with a slightly putrid smell","A legendary sativa popularized by the likes of Bob Marley and Peter Tosh, Lamb's Bread (at times called ""Lamb's Breath"" or ""Lambsbread"") is thought to be a skunk variety but is wholly different, with an extremely uppy and creative sativa effect.","Spicy, but not particularly noteworthy",9-10 weeks,"Seed versions have been released by Dutch seedbanks, but the real landrace varieties still exist","Known for being grown outdoors, Lamb's Bread needs room to stretch if grown indoors.Interested in growing?Click hereto purchase seeds and start growing today!",Jamaican sativa,Lamb's Bread,Jamaica,"This strain is an extremely uplifting and cerebral sativa, sparking the creative mind and making any daily activity more enjoyable.  This is a true tropical sativa and can come with feelings of anxiety and paranoia for some users, but for others, it's an amazing breath of fresh air mentally, clearing the cobwebs out and refreshing the perspective.","The term ""lamb's bread"" is common in the Rastafarian religion, mentioned in many Reggae songs.  As a slang term, it's also common in Jamaica and simply means great ganja.  Dutch cannabis seed banks have taken to calling the strain ""Lamb's Breath,"" erroneously thinking that it was Jamaican being pronounced ""bread"" or ""bred.""",Landrace Jamaican Sativa
"Larry OG has bright green clusters of individual buds. In most indoor gardens, the buds don’t form grandiose colas but rather grow up several branches in small groupings with wide node space. Under natural outdoor conditions, OG Kush plants can form massive spherical bushes, resembling fruit or nut trees in less than 8 months","OG Kush has a strong musky, skunk aroma with hints of bleach cleaner and citrus. The conditions for which this strain is grown largely determine the strength of the aroma. Connoisseur shops can be distinguished from the rest by having several authentic OG strains with slightly varied terpene profiles.",NaN,"To the trained tongue, OG kush flavor is unparalleled and unique among all cannabis varieties. The skunky chemical aroma transfers into flavor among vaporization or smoking and rests on the palate for minutes. Low-moisture flowers may produce a harsher smoke. OG Kush is best consumed nearly fresh after harvesting or with an extremely gradual dry time. Thus, OG is known for its stickiness. Some claim that the grow conditions in California produce superior quality OG Kush, akin to sourdough bread in San Francisco, or a true New York pizza crust.",NaN,NaN,NaN,"Unknown, perhaps SFV x OG Kush, or Afghan x Thai genetics",Larry OG,Northern California,NaN,"Larry OG is a renowned cut of the famous, OG Kush. It’s origins are in California, along with many other strains in the OG family: Tahoe OG, San Fernando Valley OG, and Ghost OG. In fact, one theory of the history of OG Kush holds that all of these cuts originated from the original strain and perhaps a treasured family heirloom in the woods of Northern California, near Lake Tahoe.The controversy lies in the authenticity of strains. Yet another claim argues that OG Kush comes from Chem Dog (Chem Dawg) lineage. This would place OG Kush back on the East Coast in Massachusetts. Both of these stories may have a connection even deeper in history though. Chemdog, the breeder, received a couple ounces of spectacular high-grade “chronic” from a couple of Colorado deadheads at the Deer Creek Amphitheatre in Indiana, 1991. The Colorado guys called it “Dog Bud” or “Chem Weed”. Back then, strains didn’t have so many names as they did grades. This was premier cannabis that was different from many types. The Coloradans believe that the weed that chemdog got seeds from was from somewhere on the Oregon, California border. It’s not crazy to believe that the two varietals came from the same mother plant in Northern California. Chemdog ‘91, one of the originals that produced some bag seeds and distributed around the country, has been bred into most popular strains today: Girl Scout Cookies, Gorilla Glue #4, Bubba Kush, the list goes on.If there is an “American strain”, it’s OG Kush. In particular, Larry OG is thought to be the original cut. As a member of Overgrown.com, a since discontinued website under speculation of drug distribution, Handle: Larry” cultivated this cut of OG Kush.",Hybrid
"Spearhead-shaped fern green sepals arranged in loose open cluster calyxes, with bursts of fiery orange pistils, and above average coverage average-stemmed hooked trichomes with average heads","If you like a floral-spicy Haze type of aroma, this strain has that in spades. The name really makes sense once a whiff of the scent is detected, as it is ripe with flowery qualities and does bring to mind actual lavender. It's like the Blueberry side of the family took a vacation and left the Haze at home to play, though there is a slight sweetness (some described it as ""purple, but not grapey"") underlying the Haze elements. It's not the most pungent sample around, but it's definitely noticeable in the jar, and becomes nicely pungent once broken apart.","This strain fit very well into our daytime routines and pleased us with its distinctly floral elements which were present in both the aroma and flavor. We appreciated the cure and overall texture quite a bit, and it seemed to help the aroma stay present whether it was ground or sitting in the jar. The combination of relaxation and mental uplift this strain offers had us feeling positive but smoothly relaxed for upwards of 3 hours, making this a great strain to medicate with mid-day and feel relief until early evening. Definitely check out this one if you want a smooth Sativa that doesn't come with any real side effects or negatives.","The flowery, almost soapy Haze elements from the aroma came through strongly in the flavor, though it wasn't quite as pleasing to our tastes as it was in aroma form for whatever reason. It has a light sweetness to it, but it was mostly present on the initial inhale, changing quickly to the more floral flavor that remained until the aftertaste. The smoke was light and crisp in the mouth, hitting smoothly and not really causing coughing except on some large hits. The final ash was a fluffy medium-light gray, showing it had received a proper flush.",NaN,Clone,NaN,Blue Dream x Haze,Lavender Haze (Colorado),Colorado,"This strain is somewhat unique in that it seemed to come on as more of an Indica to start, relaxing us and knocking us down a peg slightly, then transitioning into a more uplifting and Hazy effect after about 30 minutes. We felt that this one put us in a meditative state where we could function and work, but it carried a bit of signature Haze spaciness that had us walking around in circles at times, enjoying some of the psychoactivity it offered. The smooth effects peaked around 45 minutes, then gradually declined from there, lingering out to over 3 hours for most of our staff.",Blue Dream variant (DJ Short's Blueberry x Santa Cruz Haze),Sativa-dominant hybrid
NaN,NaN,Legend's OG x (ChemDawg x Skunk VA),NaN,Trichomes begin to amber at 9 weeks.,NaN,NaN,Legend's OG x (ChemDawg x Skunk VA),Legend of '91,NaN,NaN,NaN,Indica Dominant Hybrid
"Arm sized colas are common at harvest time and is a notoriously ""tough trim"" with many grouch finger length water leaves.",NaN,Lemon Haze x G13,NaN,NaN,Clone Only,NaN,Lemon Haze x G13,Lemon G13,NaN,"Profoundly cerebral. A sativa haze dominant strain, citrus terpenes like limonene add an uplifting and energetic effect.","Highly sought after in the concentrate scene, Lemon G13, or Lemon G, is a profound aromatic experience and carries one of the most citrus-heavy terpene profiles of all known cannabis strains.",Sativa Dominant Hybrid
"Spiral dark olive open cluster calyxes with muted goldenrod pistils, and short fat trichomes with large heads","Lemons and a nutty, slightly vegetal quality (reminded one reviewer of almonds). There was a slightly putrid twang that came out after grind as well, a bit of ""poo"" smell.","This Lemon Kush has some sweet citrus qualities to the smell and taste but Afghani hash plant parentage muted the sweet lemon candy of the Lemon G. The appearance was solid but unspectacular, and yet we all thoroughly enjoyed the effects, which were a moderate Sativa-leaning positivity and energy to go along with some Indica relaxation and body effects.","Lemony, with a flowery finish that carried notes of peppermint and grass. The smoke was extremely smooth on the throat",55-62 Days,Seed,NaN,Lemon G-13 x Afghani Landrace,Lemon Kush,California,"An initial boost of energy was the main effect, but after about 30 minutes, the real potency arrived (definitely a creeper) and sent relaxation throughout the body and cast a bit of a haze over the mental proceedings. The eyes were burning a bit and sensitive to light, with an increase in internal pressure. Social interaction was pleasant and easy thanks to the elevated mood and mental energy. Later in the duration it became more relaxing and the head effects died down for the most part — a nice, soft drop back to normalcy.","Alien Genetics pollenated the Ohio Lemon G clone only with his Afghani ""Kush"" Landrace male to create this seedline",Indica Dominant Hybrid
NaN,"Slightly sweet and mentholated lemon (many say ""Lemon Pledge""), with a skunky backdrop.","A fairly tall and good-producing plant, Lemon Skunk is exactly what the name sounds like — a heavily citrus-tinged Skunk variety with a potent and relaxing effect.  It has the typical Skunk lime green buds and bright orange pistils, producing frosty, dense, spear-shaped colas.",Lightly sweet citrus with a floral element.,"8-9 weeks, some very sativa phenotypes exist in both GHS and DNA seedlines — those can go out to 90 days at times.","DNA Genetics and Green House Seeds both offer versions, and there is another BC Lemon Skunk that was offered in seed form by Jordan of the Islands.","Lemon Skunk is a tall and fairly branchy plant whose side shoots can rival the cola in overall size and girth at times.  It responds fairly well to training and SCROG but most will yield pretty well without it.  Some heavy sativa plants will need to be staked, as flowering stretch can cause them to triple or quadruple in height.  It's known for having few leaves and being very easy to manicure as well.","Varies — some are two Skunks crossed, while others are Skunk x Citral",Lemon Skunk,"Las Vegas, Nevada, USA, then to Amsterdam, The Netherlands.","Though it's sativa-dominant, this is a rather relaxing strain that puts the mind and body at ease.  If let go long it can be a little hazy mentally, but normally it's rather functional, though mostly in more sedentary activities, especially after the first hour or so when it takes a more indica turn.  It comes with strong eye/face pressure fluctuations, aids with appetite, and helps with general relaxation, both mentally and physically.","One of the Skunk strains involved in Lemon Skunk (for both companies) came from Las Vegas, Nevada and eventually made its way in some form or another to Amsterdam, where it became part of the breeding projects that produced the final strain.  Lemon Skunk also ended up in Green House Seeds' two-time Cannabis Cup Winner Super Lemon Haze.",Sativa-dominant hybrid
Medium sized rock hard nugs with purple hues anbd large swollen calyx.,Earthy GDP dominant musk,Medium sized plant with minimal strech in bloom needs to be topped to produce well.,Earthy musk with a slight lemon after taste from the OG male.,9 weeks,Clone Only,Any,Original GDP x Lous XIII OG F5 male,Lily Bud OG,Bred by Siense of Epik Genetics,Heavy indica effect,Created in 2013 by Siense of Epik genetics by crossing an f5 OG male to the orginal GDP out of Northern California.,Indica Dominant Hybrid
NaN,"Like a fairly standard OG Kush, fresh pine and soil, without much actual citrus smell","This strain is an unknown Kush strain with an uplifting, motivating, creative effect.","A hint of the smell, but mostly a mentholated fresh vegetation taste",NaN,Clone only,NaN,Unknown OG Kush variant,Lime Kush,USA,"Immediately uplifting, this strain makes the body feel light and capable.  Filling the mind with creative and social energy, it's an almost pure Sativa effect for the most part — great daytime choice.  The harmony between the active mind and relaxed body is high with this one, leaving the user capable and not coming with any drained feeling on the comedown.",NaN,Sativa-dominant hybrid
NaN,Like cutting a ripe mango under your nose with a knife — the smell of this one is truly incredible when properly dialed-in.  The slightly acrid smell that some mangoes have when cut is present as well as a wonderful background sweetness… one of the most uncanny fruit smells you'll encounter.,"Smelling uncannily like a fresh-cut mango, the creation of this strain was a matter of finding the fruitiest Mango and the most potent Sensi Star in the garden and crossing the two.  The result is a slightly Indica-dominant strain covered in the Sensi's signature layer of globe-headed trichomes combined with the smell and flavor of the Mango.","The smell doesn't quite translate into the flavor fully, but there are still hints of the perfect mango taste (obscured by the taste of smoke and vegetation slightly).",Around 60 days (assumed based on genetic makeup),"Clone-only, created by Grasshopper Wellness in Denver, CO — seed stock may be released in the future.","When skillfully soil-grown, the smell is absolutely amazing.",KC Brains Mango x Sensi Star,Mango Star,"Denver, Colorado, USA","As the lineage would indicate, it's a slightly cerebral-feeling Indica experience that gains an extra mental punch from the Sensi Star in the early parts of the duration — the initial punch can be too much some some people, as it even affected equilibrium a bit.  It becomes relaxing on a base level and increasingly functional as the time went on though, with that initial blast of potency lasting about 45 minutes - 1 hour.  Recommended as a general relaxation med for the most part, some rather strong ocular attention, mild pain relief, and some sleep aid during the comedown.",NaN,Hybrid
NaN,"Expensive soil — that loamy and slightly spicy Kush (vs. a citrusy, sharp one)","Whether it was simply an OG Kush bagseed ""S1? or a cross of some kind is unknown, but Mars OG Kush delivers a strong hybrid experience and the patented soil-citrus flavor.",Soil-heavy with a peppery/woody aftertaste,About 9 weeks,Clone only,NaN,"Unknown member of the OG Kush family, possibly a cross",Mars OG Kush,"California, USA","A strong starter, Mars G Kush starts with strong Sativa effects, filling the head up with pressure and making the heart race a bit.  Once that initial state passes, it turns into a more relaxing yet capable experience like most Kush strains are known for.","A line of so-called ""planetary Kushes"" arose from California's medical scene in the early 2000's, selling for rather obscene prices, up to $125/8th at times.  Mars is thought to be named after its large groves of dusty red-colored pistils.",Hybrid
"Rounded olive drab closed cluster calyxes with saddle brown pistils, and short fat trichomes with large heads","This sample gave off a slightly skunky Kush scent, with a blend of piney citrus, spice, and a hint of fuel. It was nicely pungent both pre and post-grind, developing a bit of a fennel scent and some sweetness once disturbed.","Nicely potent, and endured at medicinal levels for quite some time. Though it might be a little too sedate for a professional situation, the mental relaxation seemed able to be ""shaken off"" if required, leaving us fairly capable. This strain is recommended as an evening type of med for those who are seeking Indica-dominant relief from daily aches and pains… it's enough to relax after work but won't necessarily drag down your night or send you to bed unexpectedly.","Taste-wise, this one was a fairly spice-heavy Kush with hints of backing sweet citrus.",59-66 Days,Clone-only,NaN,Hindu Kush IBL,Master Kush,Southern California,"This strain started things off with some fairly strong head pressure and warmth, leaving the staff feeling rather medicated but cheerful and talkative. The warming body sensation was appreciated, as it started almost immediately and also ccontributed to the improved demeanor. After this initial period of uplift, this strain seemed to drop us down into a heavy state of relaxation where the core was heavy and warm but the limbs were mobile and active. Mentally it was fairly difficult to concentrate on tasks and this one was best left to the couch and evening relaxation.",Also referred to as SoCal Master Kush,Indica-dominant hybrid
"Teardrop-shaped sage green calyxes with maroon pistils, and long thin-stalked trichomes with large heads","This OG had a fresh, sweet, perfumey, spicy, slightly fruity aroma that was easily noticed from several feet away but wasn't ever overbearing. After grinding, some sharpness came out and it increased in pungency further, releasing an aroma that had a rubbery sting that you often find in Diesel strains.","This Master OG is perfect for an early evening relaxation, serving to ease both the mind and body while never feeling pushy or overwhelming. Though we would've liked more peak potency, it still had quite a bit of medicinal value, especially through the first 1.5 hours — but even past that, it left a lingering relaxation that aided sleep a great deal. Its appearance and smell were both above-average, though the smell was somewhat tame for a Kush, lacking some of the acrid notes that many of them have (which is a good thing for many people).","Much like the smell, the taste was on the light side of the OG spectrum, bringing more of a spicy and barely sweet taste that didn't carry any of the sharpness. It got rather smoky and nutty-tasting after the initial hits, but was never unpleasant.",60-67 Days,Seed,NaN,Master Kush x Empress Kush,Master OG,Califonia,"This was a rather smooth-feeling OG experience, coming on easily and slowly over the first 15 minutes. Other than the eyelids lowering and some redness, there were not many physical head effects to start — however, the body felt warm and relaxed despite the heart beating a little faster than normal initially. An elevated but not euphoric mood made us feel calm and productive when consumed in the daytime, very relaxed and ready for bed when consumed late at night. It lost a lot of its power at 1-1.5 hours, but though the overt effects died down, the mental and physical relaxation continued.",Bred by Cabin Fever Seeds,Indica-dominant hybrid
NaN,An interesting blend of musky dark chocolate-like smells and notes of citrus.,"A long-finishing Indica-dominant hybrid coming from the Matanuska Valley of Alaska, this particular one was given to Sagarmatha seeds by growers in the area.  Known for its large fan leaves and big yields along with its Sativa-like effect, it's a very unique example of a near-landrace variety from North America.","Musky lemon, sometimes heavier on one or the other.","Long for an Indica, the tops can continue flowering for 115+ days if allowed, but the rest of the plant ripens in the 70 day area.",Sagarmatha Seeds,"It grows rather short and forms a very strong main cola and numerous side branches — with training, it can work for a compact SCROG setup, but generally it works best as a bush.",Alaskan hybrid,Matanuska Tundra,"Matanuska Valley, Alaska, USA","Matanuska Tundra is generally an uplifting strain, seeming more like a Sativa than the Indica it shows in its growth patterns.  It's a big time mood elevator, relieving stress and anxiety as well as easing daily aches and pains — recommended as a medical strain for beginner to moderate users, as it lacks the top-shelf type of modern day potency.","Strains from the area have been known for years as very potent and productive, one famous specimen got the name Alaskan (sometimes Matanuskan) Thunderfuck and has been circulated around in clone form since the 1980's.",Indica-dominant hybrid
